h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal
2,2,"[3, 5, 1]",20,6,6,True,False
2,2,"[3, 4, 1]",16,6,6,True,False
2,2,"[3, 2, 1]",8,5,6,False,False
2,2,"[3, 3, 1]",12,6,6,True,True
5,2,"[3, 14, 8, 6, 10, 1]",272,103,153,False,False
5,2,"[3, 14, 13, 2, 7, 1]",271,31,153,False,False
5,2,"[3, 11, 11, 5, 6, 1]",245,85,153,False,False
5,2,"[3, 15, 7, 9, 13, 1]",343,134,153,False,False
5,2,"[3, 13, 1, 12, 15, 1]",259,6,153,False,False
5,2,"[3, 11, 11, 14, 10, 1]",458,153,153,True,False
5,2,"[3, 12, 11, 11, 15, 1]",469,153,153,True,False
5,2,"[3, 4, 14, 8, 11, 1]",279,116,153,False,False
5,2,"[3, 13, 6, 2, 15, 1]",174,31,153,False,False
5,2,"[3, 9, 9, 3, 14, 1]",191,48,153,False,False
5,2,"[3, 9, 10, 8, 2, 1]",215,89,153,False,False
5,2,"[3, 13, 14, 14, 2, 1]",447,89,153,False,False
5,2,"[3, 11, 3, 13, 14, 1]",301,30,153,False,False
5,2,"[3, 14, 9, 3, 8, 1]",227,48,153,False,False
5,2,"[3, 11, 12, 10, 12, 1]",417,153,153,True,False
5,2,"[3, 8, 11, 10, 13, 1]",365,153,153,True,False
5,2,"[3, 1, 5, 8, 14, 1]",174,3,153,False,False
5,2,"[3, 10, 4, 14, 8, 1]",246,55,153,False,False
5,2,"[3, 11, 11, 1, 12, 1]",189,15,153,False,False
5,2,"[3, 15, 15, 3, 15, 1]",375,48,153,False,False
5,2,"[3, 13, 12, 4, 4, 1]",263,66,153,False,False
5,2,"[3, 2, 9, 15, 4, 1]",223,13,153,False,False
5,2,"[3, 10, 10, 10, 3, 1]",263,132,153,False,False
5,2,"[3, 13, 15, 9, 2, 1]",389,89,153,False,False
5,2,"[3, 6, 11, 6, 8, 1]",206,105,153,False,False
5,2,"[3, 1, 6, 14, 9, 1]",228,3,153,False,False
5,2,"[3, 9, 8, 7, 8, 1]",219,117,153,False,False
5,2,"[3, 3, 11, 9, 13, 1]",271,51,153,False,False
5,2,"[3, 3, 12, 11, 8, 1]",273,51,153,False,False
5,2,"[3, 8, 8, 8, 8, 1]",224,132,153,False,False
5,2,"[3, 15, 15, 8, 4, 1]",426,138,153,False,False
5,2,"[3, 3, 13, 13, 8, 1]",329,51,153,False,False
5,2,"[3, 9, 6, 13, 14, 1]",355,153,153,True,False
5,2,"[3, 13, 8, 9, 7, 1]",285,145,153,False,False
5,2,"[3, 15, 6, 4, 15, 1]",234,60,153,False,False
5,2,"[3, 3, 3, 15, 7, 1]",175,27,153,False,False
5,2,"[3, 15, 14, 9, 5, 1]",431,153,153,True,False
5,2,"[3, 7, 14, 6, 5, 1]",238,104,153,False,False
5,2,"[3, 1, 1, 15, 10, 1]",179,3,153,False,False
5,2,"[3, 13, 7, 10, 6, 1]",266,140,153,False,False
5,2,"[3, 6, 15, 15, 14, 1]",557,153,153,True,False
5,2,"[3, 14, 15, 13, 4, 1]",503,153,153,True,False
5,2,"[3, 6, 3, 15, 15, 1]",321,30,153,False,False
5,2,"[3, 5, 11, 8, 13, 1]",275,148,153,False,False
5,2,"[3, 9, 9, 15, 8, 1]",371,153,153,True,False
5,2,"[3, 7, 7, 13, 13, 1]",343,153,153,True,False
5,2,"[3, 6, 15, 7, 10, 1]",293,126,153,False,False
5,2,"[3, 15, 9, 14, 1, 1]",321,45,153,False,False
5,2,"[3, 10, 9, 14, 9, 1]",381,153,153,True,False
5,2,"[3, 15, 13, 7, 7, 1]",387,126,153,False,False
5,2,"[3, 3, 5, 15, 8, 1]",227,51,153,False,False
5,2,"[3, 4, 4, 15, 6, 1]",184,55,153,False,False
5,2,"[3, 13, 6, 12, 6, 1]",267,141,153,False,False
5,2,"[3, 5, 15, 11, 7, 1]",339,153,153,True,False
5,2,"[3, 6, 10, 8, 11, 1]",257,148,153,False,False
5,2,"[3, 11, 8, 4, 15, 1]",228,66,153,False,False
5,2,"[3, 9, 13, 4, 14, 1]",266,66,153,False,False
5,2,"[3, 13, 7, 14, 8, 1]",348,153,153,True,False
5,2,"[3, 14, 13, 4, 9, 1]",321,66,153,False,False
5,2,"[3, 7, 5, 11, 7, 1]",195,95,153,False,False
5,2,"[3, 13, 8, 11, 3, 1]",267,132,153,False,False
5,2,"[3, 10, 12, 11, 8, 1]",378,153,153,True,False
5,2,"[3, 7, 10, 5, 14, 1]",225,85,153,False,False
5,2,"[3, 12, 11, 14, 5, 1]",397,153,153,True,False
5,2,"[3, 10, 9, 5, 9, 1]",219,85,153,False,False
5,2,"[3, 12, 9, 11, 7, 1]",327,153,153,True,False
5,2,"[3, 14, 5, 15, 1, 1]",203,40,153,False,False
5,2,"[3, 4, 9, 12, 14, 1]",338,138,153,False,False
5,2,"[3, 11, 7, 12, 5, 1]",259,153,153,True,False
5,2,"[3, 12, 4, 15, 6, 1]",240,55,153,False,False
5,2,"[3, 7, 8, 12, 10, 1]",303,153,153,True,False
5,2,"[3, 4, 10, 10, 14, 1]",306,138,153,False,False
5,2,"[3, 15, 14, 10, 2, 1]",417,89,153,False,False
5,2,"[3, 10, 6, 12, 15, 1]",357,153,153,True,False
5,2,"[3, 8, 5, 6, 15, 1]",199,70,153,False,False
5,2,"[3, 15, 6, 14, 13, 1]",414,153,153,True,False
5,2,"[3, 9, 6, 12, 14, 1]",335,153,153,True,False
5,2,"[3, 13, 3, 14, 3, 1]",165,30,153,False,False
5,2,"[3, 11, 5, 12, 13, 1]",317,95,153,False,False
5,2,"[3, 14, 5, 10, 7, 1]",239,95,153,False,False
5,2,"[3, 11, 15, 4, 9, 1]",303,66,153,False,False
5,2,"[3, 4, 13, 9, 8, 1]",261,133,153,False,False
5,2,"[3, 13, 1, 13, 9, 1]",191,6,153,False,False
5,2,"[3, 12, 4, 12, 14, 1]",314,55,153,False,False
5,2,"[3, 4, 14, 10, 15, 1]",373,138,153,False,False
5,2,"[3, 6, 11, 6, 15, 1]",255,105,153,False,False
5,2,"[3, 10, 6, 13, 13, 1]",350,153,153,True,False
5,2,"[3, 11, 12, 10, 8, 1]",373,153,153,True,False
5,2,"[3, 15, 6, 11, 4, 1]",249,108,153,False,False
5,2,"[3, 8, 8, 11, 8, 1]",272,153,153,True,False
5,2,"[3, 10, 15, 10, 12, 1]",462,153,153,True,False
5,2,"[3, 14, 13, 6, 11, 1]",379,105,153,False,False
5,2,"[3, 10, 15, 5, 7, 1]",297,85,153,False,False
5,2,"[3, 6, 12, 9, 13, 1]",328,153,153,True,False
5,2,"[3, 11, 11, 5, 15, 1]",299,85,153,False,False
5,2,"[3, 1, 12, 13, 14, 1]",367,3,153,False,False
5,2,"[3, 13, 13, 4, 13, 1]",325,66,153,False,False
5,2,"[3, 13, 5, 10, 14, 1]",308,95,153,False,False
5,2,"[3, 15, 12, 8, 15, 1]",456,148,153,False,False
5,2,"[3, 7, 14, 12, 8, 1]",391,153,153,True,False
5,2,"[3, 7, 4, 15, 9, 1]",253,55,153,False,False
5,2,"[3, 2, 10, 11, 13, 1]",292,13,153,False,False
5,2,"[3, 6, 12, 10, 3, 1]",243,132,153,False,False
5,2,"[3, 8, 7, 11, 12, 1]",301,153,153,True,False
5,2,"[3, 12, 1, 15, 11, 1]",239,6,153,False,False
5,2,"[3, 2, 10, 12, 11, 1]",289,13,153,False,False
5,2,"[3, 12, 12, 10, 3, 1]",333,132,153,False,False
5,2,"[3, 7, 15, 10, 2, 1]",298,89,153,False,False
5,2,"[3, 10, 4, 13, 10, 1]",262,55,153,False,False
5,2,"[3, 15, 3, 13, 5, 1]",199,30,153,False,False
5,2,"[3, 13, 8, 9, 9, 1]",305,148,153,False,False
5,2,"[3, 14, 5, 15, 13, 1]",395,95,153,False,False
5,2,"[3, 1, 15, 5, 12, 1]",165,3,153,False,False
5,2,"[3, 15, 1, 11, 7, 1]",155,6,153,False,False
5,2,"[3, 13, 14, 15, 1, 1]",447,45,153,False,False
5,2,"[3, 12, 12, 13, 3, 1]",378,132,153,False,False
5,2,"[3, 8, 9, 12, 6, 1]",282,153,153,True,False
5,2,"[3, 3, 15, 10, 3, 1]",237,48,153,False,False
5,2,"[3, 10, 6, 15, 10, 1]",340,153,153,True,False
5,2,"[3, 3, 10, 14, 3, 1]",224,48,153,False,False
5,2,"[3, 14, 15, 15, 1, 1]",493,45,153,False,False
5,2,"[3, 8, 14, 4, 10, 1]",242,66,153,False,False
5,2,"[3, 9, 14, 7, 11, 1]",339,126,153,False,False
5,2,"[3, 7, 4, 11, 15, 1]",273,55,153,False,False
5,2,"[3, 10, 13, 10, 4, 1]",334,153,153,True,False
5,2,"[3, 15, 6, 12, 13, 1]",376,153,153,True,False
5,2,"[3, 15, 3, 14, 13, 1]",327,30,153,False,False
5,2,"[3, 12, 12, 10, 5, 1]",355,153,153,True,False
5,2,"[3, 11, 15, 8, 5, 1]",363,142,153,False,False
5,2,"[3, 4, 14, 11, 5, 1]",282,138,153,False,False
5,2,"[3, 15, 13, 9, 6, 1]",417,153,153,True,False
5,2,"[3, 5, 15, 10, 12, 1]",372,153,153,True,False
5,2,"[3, 4, 14, 15, 14, 1]",502,138,153,False,False
5,2,"[3, 14, 6, 10, 10, 1]",296,135,153,False,False
5,2,"[3, 14, 11, 9, 14, 1]",435,153,153,True,False
5,2,"[3, 9, 14, 8, 15, 1]",400,148,153,False,False
5,2,"[3, 9, 15, 4, 13, 1]",287,66,153,False,False
5,2,"[3, 9, 5, 11, 14, 1]",295,95,153,False,False
5,2,"[3, 5, 14, 11, 13, 1]",395,153,153,True,False
5,2,"[3, 6, 7, 11, 4, 1]",185,139,153,False,False
5,2,"[3, 1, 15, 12, 8, 1]",302,3,153,False,False
5,2,"[3, 15, 11, 11, 2, 1]",355,89,153,False,False
5,2,"[3, 15, 4, 13, 11, 1]",311,55,153,False,False
5,2,"[3, 13, 7, 13, 3, 1]",263,116,153,False,False
5,2,"[3, 6, 12, 12, 10, 1]",364,153,153,True,False
5,2,"[3, 2, 7, 12, 15, 1]",299,13,153,False,False
5,2,"[3, 11, 6, 10, 15, 1]",324,135,153,False,False
5,2,"[3, 6, 8, 11, 10, 1]",274,153,153,True,False
5,2,"[3, 11, 9, 11, 6, 1]",303,153,153,True,False
5,2,"[3, 9, 15, 11, 5, 1]",387,153,153,True,False
5,2,"[3, 9, 13, 12, 5, 1]",365,153,153,True,False
5,2,"[3, 14, 1, 9, 14, 1]",205,6,153,False,False
5,2,"[3, 10, 13, 7, 13, 1]",355,126,153,False,False
5,2,"[3, 12, 14, 5, 14, 1]",358,85,153,False,False
5,2,"[3, 12, 15, 7, 13, 1]",425,126,153,False,False
5,2,"[3, 9, 12, 15, 5, 1]",395,153,153,True,False
5,2,"[3, 14, 13, 7, 11, 1]",403,126,153,False,False
5,2,"[3, 15, 14, 13, 2, 1]",465,89,153,False,False
5,2,"[3, 13, 8, 13, 3, 1]",289,132,153,False,False
5,2,"[3, 13, 8, 11, 6, 1]",303,153,153,True,False
5,2,"[3, 12, 14, 5, 15, 1]",364,85,153,False,False
5,2,"[3, 5, 10, 10, 7, 1]",242,153,153,True,False
5,2,"[3, 13, 15, 9, 12, 1]",489,153,153,True,False
5,2,"[3, 11, 15, 12, 3, 1]",417,132,153,False,False
5,2,"[3, 14, 6, 13, 3, 1]",246,90,153,False,False
5,2,"[3, 10, 15, 9, 5, 1]",365,153,153,True,False
5,2,"[3, 10, 7, 12, 11, 1]",327,153,153,True,False
5,2,"[3, 5, 7, 12, 10, 1]",264,153,153,True,False
5,2,"[3, 5, 7, 10, 14, 1]",274,148,153,False,False
5,2,"[3, 5, 4, 14, 15, 1]",316,55,153,False,False
5,2,"[3, 8, 5, 14, 14, 1]",344,95,153,False,False
5,2,"[3, 15, 13, 4, 15, 1]",367,66,153,False,False
5,2,"[3, 12, 2, 13, 14, 1]",282,15,153,False,False
5,2,"[3, 9, 15, 9, 4, 1]",337,153,153,True,False
5,2,"[3, 4, 15, 11, 10, 1]",357,138,153,False,False
5,2,"[3, 15, 10, 9, 3, 1]",315,132,153,False,False
5,2,"[3, 6, 10, 15, 5, 1]",308,153,153,True,False
5,2,"[3, 13, 7, 11, 7, 1]",291,153,153,True,False
5,2,"[3, 14, 6, 13, 7, 1]",302,153,153,True,False
5,2,"[3, 8, 10, 9, 15, 1]",344,153,153,True,False
5,2,"[3, 11, 5, 12, 15, 1]",343,95,153,False,False
5,2,"[3, 11, 14, 9, 6, 1]",373,153,153,True,False
5,2,"[3, 6, 15, 4, 14, 1]",238,66,153,False,False
5,2,"[3, 8, 8, 14, 3, 1]",245,132,153,False,False
5,2,"[3, 10, 15, 8, 14, 1]",426,148,153,False,False
5,2,"[3, 10, 13, 9, 12, 1]",397,153,153,True,False
5,2,"[3, 15, 4, 10, 14, 1]",299,55,153,False,False
5,2,"[3, 3, 15, 15, 6, 1]",375,51,153,False,False
5,2,"[3, 6, 6, 11, 13, 1]",276,151,153,False,False
5,2,"[3, 7, 7, 15, 9, 1]",319,153,153,True,False
5,2,"[3, 7, 9, 9, 10, 1]",265,153,153,True,False
5,2,"[3, 12, 1, 14, 15, 1]",287,6,153,False,False
5,2,"[3, 13, 15, 8, 12, 1]",462,148,153,False,False
5,2,"[3, 10, 7, 15, 4, 1]",269,141,153,False,False
5,2,"[3, 10, 13, 15, 3, 1]",403,132,153,False,False
5,2,"[3, 14, 11, 14, 4, 1]",410,153,153,True,False
5,2,"[3, 6, 15, 14, 2, 1]",348,89,153,False,False
5,2,"[3, 15, 5, 12, 10, 1]",310,95,153,False,False
5,2,"[3, 14, 8, 10, 10, 1]",344,153,153,True,False
5,2,"[3, 12, 15, 5, 15, 1]",381,85,153,False,False
5,2,"[3, 8, 6, 13, 9, 1]",276,153,153,True,False
5,2,"[3, 15, 14, 4, 15, 1]",386,66,153,False,False
5,2,"[3, 5, 7, 13, 5, 1]",211,153,153,True,False
5,2,"[3, 12, 4, 9, 15, 1]",270,55,153,False,False
5,2,"[3, 5, 5, 15, 15, 1]",355,95,153,False,False
5,2,"[3, 15, 12, 14, 1, 1]",408,45,153,False,False
5,2,"[3, 9, 6, 13, 7, 1]",257,153,153,True,False
5,2,"[3, 5, 8, 14, 4, 1]",227,153,153,True,False
5,2,"[3, 9, 8, 10, 8, 1]",267,153,153,True,False
5,2,"[3, 8, 6, 14, 6, 1]",246,141,153,False,False
5,2,"[3, 1, 15, 14, 11, 1]",393,3,153,False,False
5,2,"[3, 8, 8, 10, 6, 1]",234,153,153,True,False
5,2,"[3, 14, 12, 11, 4, 1]",390,153,153,True,False
5,2,"[3, 6, 8, 12, 4, 1]",214,153,153,True,False
5,2,"[3, 14, 6, 10, 13, 1]",329,135,153,False,False
5,2,"[3, 12, 14, 15, 3, 1]",462,132,153,False,False
5,2,"[3, 11, 15, 8, 13, 1]",435,148,153,False,False
5,2,"[3, 14, 6, 15, 6, 1]",312,141,153,False,False
5,2,"[3, 14, 15, 6, 6, 1]",384,105,153,False,False
5,2,"[3, 9, 8, 9, 13, 1]",301,148,153,False,False
5,2,"[3, 9, 10, 10, 4, 1]",261,153,153,True,False
5,2,"[3, 13, 12, 14, 3, 1]",408,132,153,False,False
5,2,"[3, 11, 12, 9, 5, 1]",323,153,153,True,False
5,2,"[3, 3, 7, 15, 15, 1]",375,51,153,False,False
5,2,"[3, 8, 3, 14, 15, 1]",315,30,153,False,False
5,2,"[3, 14, 9, 10, 5, 1]",313,153,153,True,False
5,2,"[3, 13, 15, 14, 2, 1]",474,89,153,False,False
5,2,"[3, 2, 11, 12, 15, 1]",355,13,153,False,False
5,2,"[3, 8, 5, 14, 15, 1]",359,95,153,False,False
5,2,"[3, 6, 10, 9, 12, 1]",288,153,153,True,False
5,2,"[3, 14, 9, 9, 7, 1]",319,153,153,True,False
5,2,"[3, 14, 1, 12, 14, 1]",250,6,153,False,False
5,2,"[3, 14, 11, 14, 3, 1]",395,132,153,False,False
5,2,"[3, 15, 7, 13, 3, 1]",283,116,153,False,False
5,2,"[3, 15, 6, 12, 8, 1]",311,153,153,True,False
5,2,"[3, 14, 15, 4, 13, 1]",377,66,153,False,False
5,2,"[3, 5, 9, 11, 11, 1]",291,153,153,True,False
5,2,"[3, 14, 13, 8, 15, 1]",463,148,153,False,False
5,2,"[3, 8, 8, 10, 5, 1]",223,150,153,False,False
5,2,"[3, 8, 10, 11, 4, 1]",262,153,153,True,False
5,2,"[3, 14, 14, 5, 7, 1]",350,85,153,False,False
5,2,"[3, 11, 7, 10, 15, 1]",345,150,153,False,False
5,2,"[3, 15, 14, 14, 2, 1]",481,89,153,False,False
5,2,"[3, 11, 3, 15, 15, 1]",351,30,153,False,False
5,2,"[3, 14, 5, 14, 14, 1]",392,95,153,False,False
5,2,"[3, 15, 10, 15, 1, 1]",361,45,153,False,False
5,2,"[3, 15, 14, 6, 10, 1]",409,105,153,False,False
5,2,"[3, 8, 9, 9, 8, 1]",257,153,153,True,False
