h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa
3.0,9.0,"[2, 5, 3, 9]",52.0,44.0,738.0,False,False,44.0,0.0,694.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0803766999997606,nonfilling,"[[5, 57], [6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 1, 5, 9]",52.0,10.0,738.0,False,False,46.0,36.0,728.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0385808000028191,nonfilling,"[[4, 62], [5, 57], [6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 8, 2, 9]",50.0,36.0,738.0,False,False,40.0,4.0,702.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0883782000018982,nonfilling,"[[8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 2, 4, 9]",48.0,42.0,738.0,False,False,42.0,0.0,696.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0763767999997071,nonfilling,"[[4, 62], [5, 57], [6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 4, 3, 9]",47.0,40.0,738.0,False,False,40.0,0.0,698.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0720727999978407,nonfilling,"[[4, 62], [5, 57], [6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 7, 2, 9]",46.0,36.0,738.0,False,False,37.0,1.0,702.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0724378999984765,nonfilling,"[[7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 6, 2, 9]",42.0,34.0,738.0,False,False,34.0,0.0,704.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0763389000021561,nonfilling,"[[6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 3, 3, 9]",42.0,36.0,738.0,False,False,36.0,0.0,702.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0687705000018468,nonfilling,"[[4, 62], [5, 57], [6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 1, 4, 9]",42.0,10.0,738.0,False,False,37.0,27.0,728.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0346931999993103,nonfilling,"[[4, 62], [5, 57], [6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 10, 1, 9]",39.0,18.0,738.0,False,False,28.0,10.0,720.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0422916999996232,nonfilling,"[[10, 41]]"
3.0,9.0,"[2, 5, 2, 9]",38.0,31.0,738.0,False,False,31.0,0.0,707.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0715511000016704,nonfilling,"[[5, 57], [6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 2, 3, 9]",37.0,32.0,738.0,False,False,32.0,0.0,706.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.065036300002248,nonfilling,"[[4, 62], [5, 57], [6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 9, 1, 9]",36.0,18.0,738.0,False,False,26.0,8.0,720.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0455872999991697,nonfilling,"[[9, 43], [10, 41]]"
3.0,9.0,"[2, 4, 2, 9]",34.0,28.0,738.0,False,False,28.0,0.0,710.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0620789000022341,nonfilling,"[[4, 62], [5, 57], [6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 8, 1, 9]",33.0,18.0,738.0,False,False,24.0,6.0,720.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0436716000003798,nonfilling,"[[8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 1, 3, 9]",32.0,10.0,738.0,False,False,28.0,18.0,728.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0397436999992351,nonfilling,"[[4, 62], [5, 57], [6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 7, 1, 9]",30.0,18.0,738.0,False,False,22.0,4.0,720.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0530685999983688,nonfilling,"[[7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 3, 2, 9]",30.0,25.0,738.0,False,False,25.0,0.0,713.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0542047000017191,nonfilling,"[[4, 62], [5, 57], [6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 6, 1, 9]",27.0,18.0,738.0,False,False,20.0,2.0,720.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0343126000007032,nonfilling,"[[6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 2, 2, 9]",26.0,22.0,738.0,False,False,22.0,0.0,716.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0481384000013349,nonfilling,"[[4, 62], [5, 57], [6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 5, 1, 9]",24.0,18.0,738.0,False,False,18.0,0.0,720.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0392804000002797,nonfilling,"[[5, 57], [6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 1, 2, 9]",22.0,10.0,738.0,False,False,19.0,9.0,728.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0265261000022292,nonfilling,"[[4, 62], [5, 57], [6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 4, 1, 9]",21.0,16.0,738.0,False,False,16.0,0.0,722.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0343241999980818,nonfilling,"[[4, 62], [5, 57], [6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 3, 1, 9]",18.0,14.0,738.0,False,False,14.0,0.0,724.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0362679999998363,nonfilling,"[[4, 62], [5, 57], [6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 2, 1, 9]",15.0,12.0,738.0,False,False,12.0,0.0,726.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0345793000014964,nonfilling,"[[4, 62], [5, 57], [6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
3.0,9.0,"[2, 1, 1, 9]",12.0,10.0,738.0,False,False,10.0,0.0,728.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0293203000001085,nonfilling,"[[4, 62], [5, 57], [6, 53], [7, 49], [8, 46], [9, 43], [10, 41]]"
