h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,is_unimodal,shrunk_hidden_layers,defect,d0,dh,r
3.0,2.0,"[4, 44, 4, 1]",356.0,34.0,35.0,False,False,35,,,,,,,,True,,1.0,4,1,2
3.0,2.0,"[4, 49, 4, 1]",396.0,34.0,35.0,False,False,35,,,,,,,,True,,1.0,4,1,2
3.0,2.0,"[4, 52, 4, 1]",420.0,34.0,35.0,False,False,35,,,,,,,,True,,1.0,4,1,2
3.0,2.0,"[4, 53, 4, 1]",428.0,34.0,35.0,False,False,35,,,,,,,,True,,1.0,4,1,2
3.0,2.0,"[4, 55, 4, 1]",444.0,34.0,35.0,False,False,35,,,,,,,,True,,1.0,4,1,2
3.0,6.0,"[2, 4, 8, 1]",48.0,36.0,37.0,False,False,36,,,,,,,,True,,0.0,2,1,6
3.0,3.0,"[2, 3, 6, 4]",48.0,39.0,40.0,False,False,39,0.0,1.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0530839999992167,nonfilling,"[[4, 6]]",True,,0.0,2,4,3
3.0,3.0,"[2, 3, 193, 4]",1357.0,39.0,40.0,False,False,40,,,,,,,,True,,1.0,2,4,3
3.0,3.0,"[2, 3, 300, 4]",2106.0,39.0,40.0,False,False,40,,,,,,,,True,,1.0,2,4,3
3.0,3.0,"[3, 6, 7, 1]",67.0,54.0,55.0,False,False,54,,,,,,,,True,,0.0,3,1,3
3.0,8.0,"[2, 4, 15, 1]",83.0,64.0,65.0,False,False,64,,,,,,,,True,,0.0,2,1,8
3.0,4.0,"[2, 4, 9, 4]",80.0,67.0,68.0,False,False,67,,,,,,,,True,,0.0,2,4,4
3.0,4.0,"[2, 4, 10, 5]",98.0,84.0,85.0,False,False,84,,,,,,,,True,,0.0,2,5,4
3.0,7.0,"[2, 4, 19, 2]",122.0,99.0,100.0,False,False,99,,,,,,,,True,,0.0,2,2,7
3.0,7.0,"[2, 276, 11, 2]",3610.0,99.0,100.0,False,False,100,,,,,,,,True,,1.0,2,2,7
3.0,7.0,"[2, 277, 11, 2]",3623.0,99.0,100.0,False,False,100,,,,,,,,True,,1.0,2,2,7
3.0,7.0,"[2, 290, 11, 2]",3792.0,99.0,100.0,False,False,100,,,,,,,,True,,1.0,2,2,7
3.0,7.0,"[2, 298, 11, 2]",3896.0,99.0,100.0,False,False,100,,,,,,,,True,,1.0,2,2,7
3.0,7.0,"[2, 299, 11, 2]",3909.0,99.0,100.0,False,False,100,,,,,,,,True,,1.0,2,2,7
3.0,7.0,"[2, 300, 11, 2]",3922.0,99.0,100.0,False,False,100,,,,,,,,True,,1.0,2,2,7
3.0,3.0,"[3, 9, 10, 2]",137.0,109.0,110.0,False,False,110,,,,,,,,True,,1.0,3,2,3
3.0,6.0,"[2, 6, 13, 3]",129.0,110.0,111.0,False,False,110,,,,,,,,True,,0.0,2,3,6
3.0,6.0,"[2, 5, 15, 3]",130.0,110.0,111.0,False,False,110,,,,,,,,True,,0.0,2,3,6
3.0,8.0,"[2, 4, 25, 2]",158.0,129.0,130.0,False,False,129,,,,,,,,True,,0.0,2,2,8
3.0,2.0,"[5, 10, 9, 2]",158.0,139.0,140.0,False,False,139,,,,,,,,True,,0.0,5,2,2
3.0,12.0,"[2, 9, 15, 1]",168.0,144.0,145.0,False,False,144,,,,,,,,True,,0.0,2,1,12
3.0,12.0,"[2, 8, 17, 1]",169.0,144.0,145.0,False,False,144,,,,,,,,True,,0.0,2,1,12
3.0,12.0,"[2, 6, 23, 1]",173.0,144.0,145.0,False,False,144,,,,,,,,True,,0.0,2,1,12
3.0,4.0,"[3, 8, 17, 1]",177.0,152.0,153.0,False,False,152,,,,,,,,True,,0.0,3,1,4
3.0,5.0,"[2, 5, 15, 6]",175.0,155.0,156.0,False,False,155,,,,,,,,True,,0.0,2,6,5
3.0,3.0,"[3, 6, 19, 3]",189.0,164.0,165.0,False,False,164,,,,,,,,True,,0.0,3,3,3
3.0,5.0,"[2, 5, 16, 7]",202.0,181.0,182.0,False,False,181,,,,,,,,True,,0.0,2,7,5
3.0,8.0,"[2, 5, 27, 3]",226.0,194.0,195.0,False,False,194,,,,,,,,True,,0.0,2,3,8
3.0,2.0,"[7, 15, 14, 1]",329.0,209.0,210.0,False,False,210,,,,,,,,True,,1.0,7,1,2
3.0,3.0,"[3, 6, 23, 4]",248.0,219.0,220.0,False,False,219,,,,,,,,True,,0.0,3,4,3
3.0,7.0,"[2, 7, 22, 5]",278.0,249.0,250.0,False,False,249,,,,,,,,True,,0.0,2,5,7
3.0,6.0,"[2, 6, 21, 7]",285.0,258.0,259.0,False,False,258,,,,,,,,True,,0.0,2,7,6
3.0,6.0,"[2, 5, 23, 7]",286.0,258.0,259.0,False,False,258,,,,,,,,True,,0.0,2,7,6
3.0,7.0,"[2, 8, 23, 6]",338.0,299.0,300.0,False,False,300,1.0,1.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.5426315000004251,nonfilling,"[[8, 24]]",True,,1.0,2,6,7
3.0,7.0,"[2, 33, 23, 6]",963.0,299.0,300.0,False,False,300,,,,,,,,True,,1.0,2,6,7
3.0,7.0,"[2, 288, 23, 6]",7338.0,299.0,300.0,False,False,300,,,,,,,,True,,1.0,2,6,7
3.0,7.0,"[2, 292, 23, 6]",7438.0,299.0,300.0,False,False,300,,,,,,,,True,,1.0,2,6,7
3.0,7.0,"[2, 299, 23, 6]",7613.0,299.0,300.0,False,False,300,,,,,,,,True,,1.0,2,6,7
3.0,7.0,"[2, 300, 23, 6]",7638.0,299.0,300.0,False,False,300,,,,,,,,True,,1.0,2,6,7
3.0,8.0,"[2, 4, 40, 5]",368.0,324.0,325.0,False,False,324,,,,,,,,True,,0.0,2,5,8
3.0,9.0,"[2, 8, 29, 4]",364.0,327.0,328.0,False,False,327,,,,,,,,True,,0.0,2,4,9
3.0,9.0,"[2, 7, 32, 4]",366.0,327.0,328.0,False,False,327,,,,,,,,True,,0.0,2,4,9
